id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
385760,Home in San Diego · ★4.95 · 1 bedroom · 1 bed · 1 private bath,1486293,Ann,,Loma Portal,32.75711,-117.22541,Private room,47,31,95,2023-04-26,0.68,1,148,2,
174041,Home in San Diego · ★4.78 · 2 bedrooms · 4 beds · 1 bath,799669,Mary,,Mira Mesa,32.91086,-117.13066,Entire home/apt,132,6,12,2023-07-19,0.08,3,205,2,"STR-07243L, 630995"
176588,Guesthouse in San Diego · ★4.81 · Studio · 2 beds · 1 bath,2139569,Doug,,Moreno Mission,32.77361,-117.2004,Entire home/apt,115,31,261,2023-02-18,1.78,1,49,15,
394524,Guest suite in San Diego · ★4.74 · 1 bedroom · 1 bed · 1 bath,1972369,Edward,,Pacific Beach,32.802494,-117.25676,Entire home/apt,176,31,161,2023-03-14,1.18,1,365,5,"STR-06192L, 647063"
395071,Condo in San Diego · ★4.75 · 2 bedrooms · 4 beds · 2 baths,1974643,Debbie,,Mission Bay,32.79069,-117.25314,Entire home/apt,192,1,79,2020-06-25,0.57,1,328,0,"STR-04227L, 51864"
182428,Rental unit in San Diego · ★4.55 · Studio · 2 beds · 1 bath,874515,Luke,,Mission Bay,32.76411,-117.25139,Entire home/apt,139,3,20,2023-07-25,0.17,28,355,4,"STR-06122L, 519433"
396390,Guesthouse in San Diego · ★4.80 · 1 bedroom · 1 bed · 1 bath,1980775,Shirley,,Midtown,32.74359,-117.17584,Entire home/apt,90,3,242,2023-09-17,1.77,1,309,38,"STR-07586L, 631074"
182504,Home in San Diego · ★4.94 · 2 bedrooms · 2 beds · 1 bath,874971,Stella,,Midtown,32.74316,-117.16748,Entire home/apt,175,2,246,2023-09-04,1.67,1,45,2,"STR-05553L, 618861"
184238,Guesthouse in San Diego · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,883704,Scott,,Loma Portal,32.74109,-117.24503,Entire home/apt,169,2,556,2023-09-12,3.77,1,331,57,"STR-00049L, 629713"
401431,Home in San Diego · ★4.90 · 1 bedroom · 1 bed · 1 bath,2003694,Edwin,,Ocean Beach,32.75103,-117.24745,Entire home/apt,138,2,75,2023-06-10,0.54,3,316,4,"STR-05916L, 617744"
189785,Rental unit in San Diego · ★4.98 · 1 bedroom · 1 bed · 1 private bath,915738,Jeff,,La Jolla,32.81041,-117.26637,Private room,124,31,43,2022-12-09,0.37,1,173,1,
426121,Rental unit in San Diego · ★4.83 · 1 bedroom · 1 bed · 1 bath,2118023,Tricia,,Midtown,32.74271,-117.1773,Entire home/apt,115,31,152,2023-06-23,1.10,1,26,10,
438786,Home in San Diego · ★4.81 · Studio · 2 beds · 1 bath,2165667,Camila,,North Hills,32.74966,-117.14462,Entire home/apt,84,1,633,2023-09-17,5.66,2,340,64,"STR-07907L, 631470"
190225,Home in San Diego · ★4.89 · 5 bedrooms · 9 beds · 4 baths,918513,Paige,,La Jolla,32.84006,-117.26922,Entire home/apt,490,3,265,2023-09-09,1.91,1,296,31,"STR-00288L, 629298"
211583,Cottage in San Diego · ★4.88 · 2 bedrooms · 3 beds · 1 bath,1090651,J-Me & Clark,,Mission Bay,32.76757,-117.25103,Entire home/apt,205,3,231,2023-07-31,1.77,1,180,19,"STR-03699L, 618281"
443994,Guesthouse in San Diego · ★4.88 · 1 bedroom · 1 bed · 1 bath,2205580,Al,,Clairemont Mesa,32.80279,-117.18976,Entire home/apt,126,14,181,2023-08-21,1.32,2,70,5,"STR-06905L, 602121"
466663,Home in San Diego · ★4.66 · 1 bedroom · 1 bed · Shared half-bath,2315442,Michael,,Park West,32.72699,-117.16578,Private room,78,1,779,2023-08-22,5.67,9,82,50,"STR-07583L, 629315"
467573,Condo in San Diego · ★4.99 · 1 bedroom · 1 bed · 1 shared bath,2321070,Elise,,Midtown,32.74917,-117.15299,Private room,54,31,124,2023-07-10,0.92,1,153,1,
246264,Home in San Diego · ★4.82 · 1 bedroom · 1 bed · 1 bath,1291828,Tomio,,Linda Vista,32.79579,-117.17383,Entire home/apt,102,31,63,2023-06-03,0.49,7,351,3,
468475,Cottage in San Diego · ★4.56 · 1 bedroom · 1 bed · 1 private bath,2315442,Michael,,Park West,32.72857,-117.16604,Private room,83,1,715,2023-08-28,5.26,9,68,56,"STR-07583L, 629315"
470520,Home in San Diego · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,2315442,Michael,,Park West,32.72839,-117.16589,Private room,78,1,892,2023-09-02,6.52,9,81,53,"STR-07583L, 629315"
252289,Guesthouse in San Diego · ★4.83 · 1 bedroom · 2 beds · 1 bath,861840,Catherine,,Old Town,32.75259,-117.17599,Entire home/apt,171,2,449,2023-09-03,3.30,1,278,46,"STR-07104L, 603701"
472433,Home in San Diego · ★4.93 · 5 bedrooms · 5 beds · 4 baths,2342941,John,,La Jolla,32.82787,-117.27975,Entire home/apt,1099,3,46,2023-03-18,0.34,1,210,6,"STR-03364L, 601182"
473679,Guesthouse in San Diego · ★4.80 · 1 bedroom · 1 bed · 1 bath,2325333,Julie,,Balboa Park,32.72065,-117.13006,Entire home/apt,79,2,405,2023-08-29,3.09,1,301,19,"STR-07951L, 648873"
289088,Bungalow in San Diego · ★4.79 · 1 bedroom · 1 bed · 1 bath,1501859,Belinda,,Midtown,32.74277,-117.17735,Entire home/apt,65,2,404,2023-09-04,2.84,2,17,47,"STR-02859L, 611101"
292285,Condo in San Diego · ★4.55 · 2 bedrooms · 2 beds · 2 baths,466847,Heather,,Loma Portal,32.75031,-117.23056,Entire home/apt,96,31,57,2022-10-23,0.45,1,133,1,
293133,Rental unit in San Diego · 1 bedroom · 2 beds · 1 bath,797956,Michael,,North Hills,32.74925,-117.13299,Entire home/apt,97,31,2,2019-03-21,0.04,1,365,0,
483688,Home in San Diego · ★4.81 · 2 bedrooms · 3 beds · 2 baths,2385909,James,,Moreno Mission,32.766686193501634,-117.18966015101624,Entire home/apt,114,2,364,2023-09-15,2.67,5,35,54,"STR-04332L, 629717"
293609,Home in San Diego · ★4.89 · 2 bedrooms · 2 beds · 1 bath,1502676,Aaron,,West University Heights,32.75906,-117.14445,Entire home/apt,226,1,324,2023-08-29,2.61,5,336,34,"STR-02921L, 613561"
500915,Home in San Diego · ★4.82 · 3 bedrooms · 3 beds · 2 baths,2471170,Matthew,,South Park,32.7264,-117.12624,Entire home/apt,308,5,63,2023-07-24,0.46,1,8,9,"STR-07464L, 631614"
299720,Condo in San Diego · ★4.72 · 1 bedroom · 1 bed · 1 bath,384706,Dhiraj,,Midtown,32.73464,-117.16452,Entire home/apt,121,31,64,2023-07-31,0.45,1,307,9,
506774,Guesthouse in San Diego · ★4.73 · Studio · 1 bath,2498685,Joy,,Balboa Park,32.71941,-117.129,Entire home/apt,88,31,327,2023-07-26,2.39,1,217,2,
323773,Condo in San Diego · 2 bedrooms · 2 beds · 2 baths,1657242,Kristin,,Cortez Hill,32.72237,-117.1652,Entire home/apt,225,31,1,2014-06-17,0.01,1,175,0,
519849,Guesthouse in San Diego · ★4.87 · 1 bedroom · 4 beds · 1.5 baths,2558457,Kristen,,Mission Bay,32.78917,-117.23352,Entire home/apt,227,4,157,2023-08-20,1.22,2,325,18,"STR-02590L, 616386"
977985,Rental unit in San Diego · ★4.91 · 1 bedroom · 2 beds · 1 bath,8184593,Marc,,Pacific Beach,32.79835,-117.25596,Entire home/apt,294,3,44,2023-04-24,0.61,22,246,7,"STR-04358L, 600121"
978168,Rental unit in San Diego · ★4.85 · 2 bedrooms · 2 beds · 1 bath,8184593,Marc,,Pacific Beach,32.79644,-117.25628,Entire home/apt,294,3,13,2022-11-04,0.18,22,338,1,"STR-03332L, 51706"
978187,Rental unit in San Diego · ★4.91 · 1 bedroom · 3 beds · 1 bath,8184593,Marc,,Pacific Beach,32.79619,-117.25586,Entire home/apt,294,3,32,2023-08-05,0.53,22,237,6,"STR-03782L, 51708"
978199,Rental unit in San Diego · ★4.96 · 1 bedroom · 2 beds · 1 bath,8184593,Marc,,Pacific Beach,32.79824,-117.25601,Entire home/apt,294,3,24,2022-11-26,0.37,22,198,3,"STR-01824L, 51791"
978275,Rental unit in San Diego · ★4.86 · 2 bedrooms · 4 beds · 2 baths,8184593,Marc,,Pacific Beach,32.79943,-117.25704,Entire home/apt,390,3,36,2023-08-17,0.50,22,219,6,"STR-06238L, 51796"
978319,Rental unit in San Diego · ★4.88 · 2 bedrooms · 3 beds · 2 baths,8184593,Marc,,Pacific Beach,32.80078,-117.25895,Entire home/apt,390,3,8,2022-07-30,0.11,22,102,0,"STR-01702L, 600105"
978349,Rental unit in San Diego · ★5.0 · 2 bedrooms · 3 beds · 2 baths,8184593,Marc,,Pacific Beach,32.80114,-117.25841,Entire home/apt,390,3,7,2021-10-11,0.12,22,131,0,"STR-02375L, 600107"
978368,Rental unit in San Diego · ★4.85 · 2 bedrooms · 4 beds · 2 baths,8184593,Marc,,Pacific Beach,32.80111,-117.25744,Entire home/apt,390,3,20,2022-05-22,0.16,22,194,0,"STR-04355L, 600141"
980232,Rental unit in San Diego · ★5.0 · 2 bedrooms · 3 beds · 2 baths,8184593,Marc,,Pacific Beach,32.8009,-117.25871,Entire home/apt,390,3,10,2022-09-19,0.14,22,99,1,"STR-02378L, 51802"
528113,Rental unit in San Diego · ★4.85 · 1 bedroom · 1 bed · 1 bath,2594906,Wendy,,Midtown,32.73608,-117.16177,Entire home/apt,119,31,44,2023-08-31,0.33,1,93,6,
980406,Rental unit in San Diego · ★4.60 · 2 bedrooms · 4 beds · 2 baths,8184593,Marc,,Pacific Beach,32.79901,-117.25725,Entire home/apt,430,3,15,2022-10-04,0.12,22,298,1,"STR-06238L, 51796"
992004,Rental unit in San Diego · ★4.53 · 1 bedroom · 2 beds · 1 bath,22476,99 Steps,,Mission Bay,32.78514,-117.25292,Entire home/apt,275,31,75,2020-08-17,0.59,4,180,0,
992009,Rental unit in San Diego · ★4.66 · 1 bedroom · 2 beds · 1 bath,22476,99 Steps,,Mission Bay,32.786821349231886,-117.25250096363142,Entire home/apt,275,31,69,2019-08-25,0.55,4,180,0,"STR-05921L, 605921"
998231,Home in San Diego · ★4.81 · 2 bedrooms · 2 beds · 3 baths,2527764,Kathy,,Linda Vista,32.7813,-117.18205,Entire home/apt,300,31,96,2021-06-20,0.77,1,324,0,
560227,Home in San Diego · 3 bedrooms · 3 beds · 3 baths,57109,William,,Mission Bay,32.7873,-117.25408,Entire home/apt,200,90,2,2012-11-24,0.01,1,46,0,"STR-05320L, 617284"
1001069,Condo in San Diego · ★4.84 · 1 bedroom · 1 bed · 1 bath,5424014,Michael,,Little Italy,32.72142,-117.16605,Entire home/apt,150,31,23,2023-09-05,0.19,1,119,2,
561997,Home in San Diego · ★4.96 · 2 bedrooms · 3 beds · 1 bath,2740315,Beverlee,,Bay Park,32.80576,-117.1955,Entire home/apt,229,3,200,2023-09-11,1.47,1,353,29,"STR-06738L, 630255"
571822,Home in San Diego · ★4.86 · 4 bedrooms · 5 beds · 3 baths,470998,Miriam,,La Jolla,32.81561,-117.26318,Entire home/apt,570,1,288,2023-09-10,2.31,1,291,42,"STR-01247L, 520254"
1003174,Home in San Diego · ★4.91 · 1 bedroom · 1 bed · 1 bath,5062900,Susanna,,Balboa Park,32.72829,-117.13077,Private room,67,31,35,2023-07-10,0.29,1,169,16,
1034805,Home in San Diego · ★4.44 · 4 bedrooms · 5 beds · 2.5 baths,5695845,Stephanie,,Pacific Beach,32.80629,-117.24603,Entire home/apt,349,6,16,2022-07-08,0.13,1,0,0,"STR-06651L, 629865"
576112,Guesthouse in San Diego · ★4.87 · 1 bedroom · 1 bed · 1 bath,2833833,Ryder,,Pacific Beach,32.80451,-117.25308,Entire home/apt,162,2,746,2023-09-01,5.50,6,84,63,"STR-00679L, 612523"
1037247,Guesthouse in San Diego · ★4.59 · Studio · 1 bed · 1 bath,2409798,Terry,,La Jolla,32.82882,-117.27689,Entire home/apt,129,1,604,2023-08-28,4.80,3,62,74,"STR-08911L, 631375"
1050799,Home in San Diego · ★4.97 · 4 bedrooms · 5 beds · 2.5 baths,5784602,Sara & Tim,,Pacific Beach,32.80781,-117.24965,Entire home/apt,509,2,33,2023-09-17,0.39,1,134,32,"STR-01610L, 643999"
585426,Home in San Diego · ★4.63 · 4 bedrooms · 5 beds · 2 baths,2885527,Linda,,Normal Heights,32.76731,-117.125,Entire home/apt,173,4,163,2023-07-28,1.21,3,156,13,"STR-00882L, 610281"
585469,Home in San Diego · ★4.89 · 1 bedroom · 1 bed · 1 bath,2886419,Christine,,South Park,32.72963,-117.12269,Entire home/apt,127,1,632,2023-09-11,4.68,1,0,63,"STR-06778L, 618844"
1063149,Townhouse in San Diego · ★4.96 · 2 bedrooms · 2 beds · 2.5 baths,5851927,Tyler,,North Hills,32.75169,-117.13169,Entire home/apt,251,3,80,2023-09-04,0.64,1,4,9,"STR-06796L, 607342"
1066097,Home in San Diego · ★4.86 · 1 bedroom · 1 bed · 1 private bath,1292892,Xenia & Shawn,,Bay Park,32.78155,-117.20103,Private room,113,4,43,2023-08-02,0.34,1,35,9,"STR-06982L, 609621"
587471,Home in San Diego · ★4.83 · 5 bedrooms · 7 beds · 4 baths,266381,Sean,,Ocean Beach,32.73408,-117.25157,Entire home/apt,682,3,84,2023-09-04,0.90,1,200,26,"STR-08903L, 608521"
589214,Treehouse in San Diego · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,2315442,Michael,,Park West,32.72781,-117.16383,Private room,83,1,1023,2023-09-03,7.64,9,72,77,"STR-07583L, 069316"
1072842,Rental unit in San Diego · ★4.77 · 1 bedroom · 1 bed · 1 bath,5901435,Justin,,Balboa Park,32.72254,-117.12924,Entire home/apt,129,31,147,2023-09-04,1.16,1,180,9,"STR-98321L, 8675"
589254,Condo in San Diego · ★4.92 · 1 bedroom · 1 bed · 1 private bath,1117966,John,,Midtown,32.74217,-117.16377,Private room,75,31,193,2021-06-27,1.73,2,321,0,
1080319,Home in San Diego · ★4.62 · 2 bedrooms · 3 beds · 1 bath,5942374,Andrew,,Mission Bay,32.76117,-117.24918,Entire home/apt,138,1,186,2023-08-31,1.68,11,295,32,"STR-01503L, 621921"
1080326,Home in San Diego · ★4.75 · 3 bedrooms · 5 beds · 2 baths,5942374,Andrew,,Mission Bay,32.76047,-117.24995,Entire home/apt,371,1,4,2020-06-29,0.04,11,267,0,"STR-01503L, 621921"
1080335,Home in San Diego · ★4.47 · 5 bedrooms · 10 beds · 3 baths,5942374,Andrew,,Mission Bay,32.76104,-117.2495,Entire home/apt,605,1,38,2023-08-27,0.31,11,274,5,"STR-01566L, 609381"
1083576,Cottage in San Diego · ★4.86 · Studio · 2 beds · 1 bath,869862,John,,North Hills,32.74577,-117.13193,Entire home/apt,98,1,674,2023-09-10,5.35,2,150,84,"STR-00079L, 607521"
591575,Condo in San Diego · ★4.93 · 2 bedrooms · 2 beds · 2 baths,2919820,Karl,,La Jolla,32.82898,-117.27846,Entire home/apt,360,3,100,2023-06-18,1.12,2,113,12,"STR-04232L, 519701"
597609,Condo in San Diego · ★4.96 · 2 bedrooms · 2 beds · 2 baths,2919820,Karl,,La Jolla,32.82901,-117.27849,Entire home/apt,354,3,109,2023-08-19,1.25,2,88,13,"STR-04569L, 617922"
1101470,Rental unit in San Diego · ★4.66 · 1 bedroom · 1 bed · 1 bath,3134951,Eric,,Balboa Park,32.71847,-117.14397,Entire home/apt,78,2,447,2023-07-23,3.94,1,354,36,"STR-01548L, 644188"
1108080,Home in San Diego · ★5.0 · 1 bedroom · 1 bed · 2 baths,6084137,Shawnee,,North Hills,32.74355,-117.13709,Entire home/apt,214,2,6,2023-07-15,0.05,3,291,2,"STR-07570L, 631970"
1109171,Cottage in San Diego · ★4.90 · 1 bedroom · 2 beds · 1 bath,12239315,Meredith,,North Hills,32.74672,-117.12161,Entire home/apt,105,31,308,2023-09-04,4.11,2,109,54,"STR-02488L, 634686"
1115516,Condo in San Diego · ★4.88 · 1 bedroom · 1 bed · 1 private bath,48669,Jennifer,,Pacific Beach,32.80746,-117.23471,Private room,85,6,41,2023-09-17,0.33,1,255,6,"STR-06735L, 631362"
599607,Home in San Diego · ★5.0 · 1 bedroom · 1 bed · Half-bath,2954330,Kim,,Midtown,32.74259,-117.17566,Entire home/apt,132,31,18,2023-04-03,0.49,1,365,5,
1127311,Condo in San Diego · ★4.95 · 1 bedroom · 1 bed · 1 private bath,6183960,Susan,,Balboa Park,32.71798,-117.13071,Private room,67,31,222,2023-08-03,1.77,1,89,4,
602985,Home in San Diego · ★4.77 · 2 bedrooms · 3 beds · 1 bath,523947346,Jan,,Ocean Beach,32.74449920654297,-117.25042724609375,Entire home/apt,197,3,246,2023-05-15,1.84,1,160,27,"STR-03608L, 600081"
611250,Home in San Diego · ★4.61 · 1 bedroom · 1 bed · Shared half-bath,2315442,Michael,,Park West,32.72784,-117.16398,Private room,66,1,607,2023-08-23,4.49,9,67,51,"STR-07593L, 629315"
616718,Home in San Diego · ★4.60 · 1 bedroom · 1 private bath,2315442,Michael,,Park West,32.72636,-117.16461,Private room,76,1,767,2023-09-03,5.67,9,68,57,"STR-07583L, 629315"
631271,Rental unit in San Diego · ★4.71 · 1 bedroom · 2 beds · 1 bath,1121416,Andre,,East Village,32.71553,-117.15377,Entire home/apt,114,31,110,2023-02-18,0.82,1,159,1,
1133487,Rental unit in San Diego · ★4.87 · 2 bedrooms · 3 beds · 1 bath,2003694,Edwin,,Ocean Beach,32.75296,-117.24718,Entire home/apt,133,2,142,2023-09-04,1.15,3,331,21,"STR-05828L, 617682"
1166766,Home in San Diego · ★4.59 · 5 bedrooms · 6 beds · 4 baths,6388958,Ali,,Bay Park,32.78337,-117.19911,Entire home/apt,914,3,30,2023-08-05,0.25,3,261,10,"STR-00048L, 621584"
637308,Home in La Jolla · ★5.0 · 6 bedrooms · 7 beds · 5.5 baths,3178591,David,,La Jolla,32.83984,-117.26885,Entire home/apt,1352,31,7,2022-07-07,0.05,1,296,0,"STR-07116L, 647547"
1167130,Home in San Diego · ★4.71 · 5 bedrooms · 7 beds · 4 baths,6388958,Ali,,Old Town,32.74569,-117.18702,Entire home/apt,811,3,32,2023-09-11,0.28,3,288,13,"STR-00538L, 621585"
1183323,Home in San Diego · ★4.80 · 2 bedrooms · 3 beds · 2 baths,6473290,Terri,,Mission Bay,32.78385925292969,-117.2520751953125,Entire home/apt,299,3,163,2023-09-02,1.32,1,64,31,"STR-03093L, 645047"
651542,Home in San Diego · ★4.88 · 2 bedrooms · 2 beds · 2 baths,3006274,Kathryn,,Midtown,32.74323,-117.17623,Entire home/apt,179,32,217,2023-05-01,1.73,2,222,9,
1197919,Home in San Diego · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,3434582,June,,North Hills,32.74429,-117.12451,Private room,81,4,34,2023-09-04,0.27,3,166,10,"STR-07319L, 629529"
655822,Home in San Diego · ★4.77 · 3 bedrooms · 3 beds · 2 baths,2356843,Penelope,,Rancho Penasquitos,32.9524,-117.11426,Entire home/apt,300,5,13,2022-10-11,0.16,1,306,1,"STR-07024L, 610022"
1198495,Home in San Diego · ★4.70 · 2 bedrooms · 3 beds · 1.5 baths,5619197,La Jolla Dream Homes,,La Jolla,32.84386,-117.27335,Entire home/apt,254,3,166,2023-08-27,1.32,7,332,22,"STR-03118L, 636821"
657051,Rental unit in San Diego · ★4.84 · 1 bedroom · 2 beds · 1 bath,3310631,Sean,,South Park,32.72266,-117.12402,Entire home/apt,151,1,275,2023-09-09,2.07,3,198,37,"STR-02470L, 603743"
670830,Home in San Diego · ★4.62 · 10 bedrooms · 1 bed · 3 shared baths,2315442,Michael,,Park West,32.72632,-117.16597,Private room,68,1,654,2023-08-28,4.87,9,74,62,"STR-07583L, 629315"
1233047,Home in San Diego · ★4.75 · 3 bedrooms · 4 beds · 2 baths,6724344,David,,Roseville,32.72637,-117.23791,Entire home/apt,375,3,112,2022-07-05,0.90,1,202,0,"STR-07726L, 631587"
691132,Bungalow in San Diego · ★4.50 · 5 bedrooms · 5 beds · 3 baths,129123,Michael,,Pacific Beach,32.80756,-117.25728,Entire home/apt,465,31,8,2021-12-30,0.06,5,260,0,"STR-05218L, 645110"
1246698,Bungalow in San Diego · ★4.95 · 2 bedrooms · 2 beds · 1 bath,4212739,Andrea,,South Park,32.72632,-117.12641,Entire home/apt,226,3,44,2023-09-10,1.94,1,107,32,"STR-00133L, 643355"
693579,Rental unit in San Diego · 1 bedroom · 1 bed · 1 bath,3547828,Blair,,Balboa Park,32.7159,-117.14481,Entire home/apt,99,31,1,2019-12-29,0.02,21,365,0,
1252651,Home in San Diego · ★4.88 · 2 bedrooms · 2 beds · 1 bath,6627782,Sarah,,Ocean Beach,32.74276,-117.25235,Entire home/apt,250,3,234,2023-09-03,2.63,1,151,31,STR-00849L
707175,Rental unit in San Diego · 1 bedroom · 2 beds · 2 baths,3634860,Anne,,Marina,32.70958,-117.16148,Entire home/apt,150,31,1,2014-03-16,0.01,1,351,0,
1255655,Condo in San Diego · ★4.93 · 2 bedrooms · 2 beds · 1 bath,6839595,Chris,,Mission Valley,32.77351,-117.14657,Entire home/apt,211,31,27,2023-07-05,0.22,1,322,4,
723387,Cottage in San Diego · ★4.82 · 1 bedroom · 1 bed,3736562,Renee,,Pacific Beach,32.79429,-117.24269,Entire home/apt,149,1,143,2023-09-06,1.07,6,245,24,"STR-03708L, 630278"
741131,Treehouse in San Diego · ★4.70 · 1 bedroom · 1 bed · 1 bath,1291828,Tomio,,Linda Vista,32.79647,-117.17435,Entire home/apt,110,31,58,2022-06-20,0.46,7,121,0,
1284694,Rental unit in San Diego · ★4.70 · 1 bedroom · 2 beds · 1 bath,6989346,John,,Grant Hill,32.71084,-117.14251,Entire home/apt,105,31,200,2023-08-08,1.61,13,365,4,
1285153,Hostel in San Diego · ★4.65 · 1 bedroom · 4 beds · 2 shared baths,3324885,International Travelers House,,Cortez Hill,32.72383,-117.16552,Shared room,99,1,188,2023-07-22,1.55,7,285,16,
747354,Home in San Diego · ★4.86 · 4 bedrooms · 6 beds · 2 baths,3857763,Christine,,Old Town,32.75668,-117.17011,Entire home/apt,438,5,50,2023-08-07,0.38,2,0,7,"STR-04111L, 617581"
